strike,dip,rake,weighted_misfit,misfit_fraction,polarity_errors
40,20,-110,0.09919124579122414,0.2,1
40,20,-100,0.09919124579122414,0.2,1
40,20,-90,0.09919124579122414,0.2,1
40,20,-80,0.09919124579122414,0.2,1
40,30,-100,0.09919124579122414,0.2,1
40,30,-90,0.09919124579122414,0.2,1
40,30,-80,0.09919124579122414,0.2,1
40,60,110,0.09919124579122414,0.2,1
40,60,120,0.09919124579122414,0.2,1
40,70,110,0.09919124579122414,0.2,1
40,70,120,0.09919124579122414,0.2,1
40,70,130,0.09919124579122414,0.2,1
40,80,100,0.09919124579122414,0.2,1
40,80,110,0.09919124579122414,0.2,1
40,80,120,0.09919124579122414,0.2,1
40,80,130,0.09919124579122414,0.2,1
40,80,140,0.09919124579122414,0.2,1
40,90,100,0.09919124579122414,0.2,1
40,90,110,0.09919124579122414,0.2,1
40,90,120,0.09919124579122414,0.2,1
40,90,130,0.09919124579122414,0.2,1
40,90,140,0.09919124579122414,0.2,1
50,10,-100,0.09919124579122414,0.2,1
50,10,-90,0.09919124579122414,0.2,1
50,10,-80,0.09919124579122414,0.2,1
50,10,-70,0.09919124579122414,0.2,1
50,20,-110,0.09919124579122414,0.2,1
50,20,-100,0.09919124579122414,0.2,1
50,20,-90,0.09919124579122414,0.2,1
50,20,-80,0.09919124579122414,0.2,1
50,20,-70,0.09919124579122414,0.2,1
50,30,-90,0.09919124579122414,0.2,1
50,30,-80,0.09919124579122414,0.2,1
50,30,-70,0.09919124579122414,0.2,1
50,40,-80,0.09919124579122414,0.2,1
50,70,110,0.09919124579122414,0.2,1
50,70,120,0.09919124579122414,0.2,1
50,70,130,0.09919124579122414,0.2,1
50,80,110,0.09919124579122414,0.2,1
50,80,120,0.09919124579122414,0.2,1
50,80,130,0.09919124579122414,0.2,1
50,90,100,0.09919124579122414,0.2,1
50,90,110,0.09919124579122414,0.2,1
50,90,120,0.09919124579122414,0.2,1
50,90,130,0.09919124579122414,0.2,1
50,90,140,0.09919124579122414,0.2,1
60,10,-90,0.09919124579122414,0.2,1
60,10,-80,0.09919124579122414,0.2,1
60,10,-70,0.09919124579122414,0.2,1
60,10,-60,0.09919124579122414,0.2,1
60,20,-100,0.09919124579122414,0.2,1
60,20,-90,0.09919124579122414,0.2,1
60,20,-80,0.09919124579122414,0.2,1
60,20,-70,0.09919124579122414,0.2,1
60,20,-60,0.09919124579122414,0.2,1
60,30,-80,0.09919124579122414,0.2,1
60,30,-70,0.09919124579122414,0.2,1
60,30,-60,0.09919124579122414,0.2,1
60,40,-70,0.09919124579122414,0.2,1
60,40,-60,0.09919124579122414,0.2,1
60,90,100,0.09919124579122414,0.2,1
60,90,110,0.09919124579122414,0.2,1
60,90,120,0.09919124579122414,0.2,1
60,90,130,0.09919124579122414,0.2,1
70,10,-80,0.09919124579122414,0.2,1
70,10,-70,0.09919124579122414,0.2,1
70,10,-60,0.09919124579122414,0.2,1
70,10,-50,0.09919124579122414,0.2,1
70,20,-90,0.09919124579122414,0.2,1
70,20,-80,0.09919124579122414,0.2,1
70,20,-70,0.09919124579122414,0.2,1
70,20,-60,0.09919124579122414,0.2,1
70,20,-50,0.09919124579122414,0.2,1
70,30,-80,0.09919124579122414,0.2,1
70,30,-70,0.09919124579122414,0.2,1
70,30,-60,0.09919124579122414,0.2,1
70,30,-50,0.09919124579122414,0.2,1
70,40,-70,0.09919124579122414,0.2,1
70,40,-60,0.09919124579122414,0.2,1
70,40,-50,0.09919124579122414,0.2,1
80,10,-70,0.09919124579122414,0.2,1
80,10,-60,0.09919124579122414,0.2,1
80,10,-50,0.09919124579122414,0.2,1
80,10,-40,0.09919124579122414,0.2,1
80,20,-80,0.09919124579122414,0.2,1
80,20,-70,0.09919124579122414,0.2,1
80,20,-60,0.09919124579122414,0.2,1
80,20,-50,0.09919124579122414,0.2,1
80,20,-40,0.09919124579122414,0.2,1
80,30,-70,0.09919124579122414,0.2,1
80,30,-60,0.09919124579122414,0.2,1
80,30,-50,0.09919124579122414,0.2,1
80,30,-40,0.09919124579122414,0.2,1
80,40,-60,0.09919124579122414,0.2,1
80,40,-50,0.09919124579122414,0.2,1
80,40,-40,0.09919124579122414,0.2,1
80,50,-50,0.09919124579122414,0.2,1
90,10,-60,0.09919124579122414,0.2,1
90,10,-50,0.09919124579122414,0.2,1
90,10,-40,0.09919124579122414,0.2,1
90,10,-30,0.09919124579122414,0.2,1
90,20,-70,0.09919124579122414,0.2,1
90,20,-60,0.09919124579122414,0.2,1
90,20,-50,0.09919124579122414,0.2,1
90,20,-40,0.09919124579122414,0.2,1
90,20,-30,0.09919124579122414,0.2,1
90,30,-60,0.09919124579122414,0.2,1
90,30,-50,0.09919124579122414,0.2,1
90,30,-40,0.09919124579122414,0.2,1
90,30,-30,0.09919124579122414,0.2,1
90,40,-50,0.09919124579122414,0.2,1
90,40,-40,0.09919124579122414,0.2,1
90,40,-30,0.09919124579122414,0.2,1
90,50,-50,0.09919124579122414,0.2,1
90,50,-40,0.09919124579122414,0.2,1
90,50,-30,0.09919124579122414,0.2,1
90,60,-40,0.09919124579122414,0.2,1
100,10,-50,0.09919124579122414,0.2,1
100,10,-40,0.09919124579122414,0.2,1
100,10,-30,0.09919124579122414,0.2,1
100,10,-20,0.09919124579122414,0.2,1
100,20,-60,0.09919124579122414,0.2,1
100,20,-50,0.09919124579122414,0.2,1
100,20,-40,0.09919124579122414,0.2,1
100,20,-30,0.09919124579122414,0.2,1
100,20,-20,0.09919124579122414,0.2,1
100,30,-50,0.09919124579122414,0.2,1
100,30,-40,0.09919124579122414,0.2,1
100,30,-30,0.09919124579122414,0.2,1
100,30,-20,0.09919124579122414,0.2,1
100,40,-50,0.09919124579122414,0.2,1
100,40,-40,0.09919124579122414,0.2,1
100,40,-30,0.09919124579122414,0.2,1
100,40,-20,0.09919124579122414,0.2,1
100,50,-40,0.09919124579122414,0.2,1
100,50,-30,0.09919124579122414,0.2,1
